Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.6
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,3.338898164,-1.453957997,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,4.383627921,8.079745337,8.161430797,3.814916166,-0.084012264,5.364016273,10.16499559,7.643793597,11.49382857,6.626368847,5.2132729,5.252274656,3.011714686,2.176578603,1.158475191,5.279878709,6.676707103,-4.359587382,6.604459721,5.471608482,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.144598617,6.950416555,3.351160885,-15.97350964
Australia,,2.485769492,1.296087352,6.214630395,6.978522159,5.983505989,2.382458423,6.30262019,5.0958138,7.044329321,7.172186576,4.003683534,3.91252353,2.613723151,4.103362161,1.349916787,2.5876962,3.597427567,0.896879846,4.043486692,3.034245871,3.337768138,3.328441934,-2.220470122,4.581297219,5.249329609,4.037528851,2.551170459,5.743381585,3.861173516,3.570998147,-0.3978177,0.412184701,4.029906461,3.983890153,3.837755293,3.878585293,3.966537662,4.576688759,5.073599095,3.933136945,1.930857592,4.001404062,2.985934322,4.055451968,3.204269793,2.794537024,3.844230316,3.657953526,1.93699392,2.067417128,2.462756312,3.918162871,2.584897702,2.533114665,2.192647426,2.770652197,2.300610624,2.949285772,2.160956295,-0.284839298
Austria,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,6.321142632,5.114968585,6.207861086,4.890435317,3.942138071,-0.363735434,4.578445433,5.079980594,-0.210653695,5.3566999,1.731485595,-0.144294691,2.011254708,2.97308803,0.051274763,2.498678497,2.301393212,1.357168064,3.295879898,3.887074818,4.345641399,3.441627777,2.093524617,0.526809204,2.402119074,2.667983531,2.349533852,2.09359939,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.399587603,2.580120733,1.418734272,-6.259034819
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000183,-22.60000005,-23.09999931,-19.70000072,-11.79999973,1.299999465,5.800000012,10.00000117,7.399999587,11.0999995,9.90000013,9.438916342,10.20830001,9.253801326,27.96153807,34.46620936,25.46321591,10.59143729,9.369074777,4.789242792,-1.572997621,2.202939023,5.843415762,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.480151591,-4.309989133
Burundi,,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836448,1.009998371,-6.240000001,-3.829999996,-7.920000004,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.45195249,4.861712995,3.812746937,5.124163303,4.032602496,4.446708222,4.924195261,4.240651644,-3.900003086,-0.600020001,0.500009999,1.609933082,1.842476677,0.297577119
Belgium,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.582858284,3.98582711,5.295604743,6.381701958,4.565257973,-1.965941566,5.652745933,0.626154854,2.841896491,2.341072956,4.444053876,-0.279283279,0.594986772,0.311842703,2.466382805,1.651792899,1.822761831,2.306659566,4.72320888,3.469166984,3.137402316,1.833074277,1.530654944,-0.96187331,3.226971525,2.38475728,1.32145093,3.79365763,1.961808272,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.621547198,1.787920078,1.784694379,-6.283929951
Benin,,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.877497976,2.097757578,-1.496841828,6.426367544,3.706165319,3.339312161,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.854160496,8.976134361,4.225799419,2.957710827,5.836172085,2.020400448,6.04519865,4.324284031,5.734688375,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687336,3.8487924
Burkina Faso,,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.06998446,0.232710762,3.461384939,1.315007272,5.716373863,11.01474387,6.316834735,7.307719635,7.395237801,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.731235608,5.699434934,2.022384695
